Team_x,Year,Rk,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Playoffs,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Successful,Arena,Attend.,Attend./G,Lost To,Round made it to,Team_y,Lost to Rk,Lost to Age,Lost to W,Lost to L,Lost to PW,Lost to PL,Lost to MOV,Lost to SOS,Lost to SRS,Lost to ORtg,Lost to DRtg,Lost to NRtg,Lost to Pace,Lost to FTr,Lost to 3PAr,Lost to TS%,Lost to eFG%,Lost to TOV%,Lost to ORB%,Lost to FT/FGA,Lost to Playoffs,Lost to eFG%.1,Lost to TOV%.1,Lost to DRB%,Lost to FT/FGA.1,Lost to Successful,Lost to Arena,Lost to Attend.,Lost to Attend./G,Lost to Round made it to,Difference NRtg,Difference W,Difference MOV,Difference Pace,Difference ORtg,Difference DRtg,Difference Age,Difference TS%
Dallas Mavericks,2014,12,30.6,49,33,48,34,2.4,0.5,2.91,111.2,108.7,2.5,93.5,0.253,0.274,0.564,0.526,12.7,24.6,0.201,1.0,0.515,14.8,72.7,0.229,0,American Airlines Center,"817,982","19,951",San Antonio Spurs,Conference First Round,San Antonio Spurs,1.0,28.9,62.0,20.0,61.0,21.0,7.72,0.28,8.0,110.5,102.4,8.1,95.0,0.24,0.257,0.571,0.537,13.5,22.7,0.188,1.0,0.482,12.8,76.4,0.184,1.0,AT&T Center,"755,031","18,415",NBA Champion,5.6,13.0,5.32,1.5,-0.7000000000000028,-6.299999999999997,-1.7000000000000028,0.007000000000000006
Chicago Bulls,2014,13,28.6,48,34,47,35,1.85,-0.66,1.2,102.5,100.5,2.0,90.2,0.29,0.222,0.518,0.471,14.2,27.2,0.226,1.0,0.471,13.7,75.4,0.189,0,United Center,"890,370","21,716",Washington Wizards,Conference First Round,Washington Wizards,15.0,26.3,44.0,38.0,45.0,37.0,1.27,-0.79,0.48,106.0,104.6,1.4,93.2,0.248,0.246,0.538,0.506,13.6,25.2,0.181,1.0,0.504,15.0,75.7,0.22,0.0,Verizon Center,"698,068","17,026",Conference Semifinals,-0.6000000000000001,-4.0,-0.5800000000000001,3.0,3.5,4.099999999999994,-2.3000000000000007,0.020000000000000018
Memphis Grizzlies,2014,14,28.5,50,32,46,36,1.57,0.61,2.18,106.3,104.6,1.7,89.9,0.248,0.171,0.529,0.494,13.1,28.3,0.184,1.0,0.497,13.8,75.7,0.199,0,FedEx Forum,"685,458","16,718",Oklahoma City Thunder,Conference First Round,Oklahoma City Thunder,3.0,26.2,59.0,23.0,58.0,24.0,6.34,0.32,6.66,110.5,103.9,6.6,95.4,0.303,0.271,0.566,0.52,14.0,26.5,0.244,1.0,0.488,13.9,75.6,0.221,1.0,Chesapeake Energy Arena,"746,323","18,203",Conference Finals,4.8999999999999995,9.0,4.77,5.5,4.200000000000003,-0.6999999999999886,-2.3000000000000007,0.03699999999999992
Washington Wizards,2014,15,26.3,44,38,45,37,1.27,-0.79,0.48,106.0,104.6,1.4,93.2,0.248,0.246,0.538,0.506,13.6,25.2,0.181,1.0,0.504,15.0,75.7,0.22,0,Verizon Center,"698,068","17,026",Indiana Pacers,Conference Semifinals,Indiana Pacers,6.0,27.2,56.0,26.0,54.0,28.0,4.4,-0.77,3.63,104.1,99.3,4.8,92.5,0.29,0.235,0.535,0.49,14.3,24.9,0.226,1.0,0.46,12.9,76.8,0.197,1.0,Bankers Life Fieldhouse,"717,542","17,501",Conference Finals,3.4,12.0,3.1300000000000003,-0.7000000000000028,-1.9000000000000057,-5.299999999999997,0.8999999999999986,-0.0030000000000000027
Charlotte Bobcats,2014,16,25.5,43,39,40,42,-0.22,-0.67,-0.89,103.6,103.8,-0.2,92.4,0.297,0.219,0.522,0.481,11.7,21.9,0.219,1.0,0.491,12.6,77.6,0.183,0,Time Warner Cable Arena,"636,268","15,519",Miami Heat,Conference First Round,Miami Heat,4.0,30.6,54.0,28.0,54.0,28.0,4.76,-0.61,4.15,110.9,105.8,5.1,91.2,0.3,0.292,0.59,0.554,14.6,20.6,0.228,1.0,0.511,15.8,73.0,0.212,1.0,AmericanAirlines Arena,"811,036","19,781",Finals,5.3,11.0,4.9799999999999995,-1.2000000000000028,7.300000000000011,2.0,5.100000000000001,0.06799999999999995
Atlanta Hawks,2014,17,27.5,38,44,40,42,-0.48,-0.4,-0.88,105.9,106.4,-0.5,94.6,0.266,0.316,0.554,0.515,14.3,21.0,0.208,1.0,0.51,14.0,74.4,0.196,0,Philips Arena,"587,927","14,231",Indiana Pacers,Conference First Round,Indiana Pacers,6.0,27.2,56.0,26.0,54.0,28.0,4.4,-0.77,3.63,104.1,99.3,4.8,92.5,0.29,0.235,0.535,0.49,14.3,24.9,0.226,1.0,0.46,12.9,76.8,0.197,1.0,Bankers Life Fieldhouse,"717,542","17,501",Conference Finals,5.3,18.0,4.880000000000001,-2.0999999999999943,-1.8000000000000114,-7.1000000000000085,-0.3000000000000007,-0.019000000000000017
New York Knicks,2014,18,28.3,37,45,39,43,-0.79,-0.61,-1.4,108.3,109.1,-0.8,90.3,0.248,0.302,0.541,0.505,12.5,25.1,0.189,,0.514,14.0,74.3,0.245,0,Madison Square Garden (IV),"812,292","19,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,2014,19,30.0,44,38,38,44,-1.0,-0.58,-1.58,106.7,107.7,-1.0,91.4,0.313,0.301,0.555,0.514,14.1,21.7,0.236,1.0,0.509,14.9,72.3,0.236,0,Barclays Center,"707,331","17,252",Miami Heat,Conference Semifinals,Miami Heat,4.0,30.6,54.0,28.0,54.0,28.0,4.76,-0.61,4.15,110.9,105.8,5.1,91.2,0.3,0.292,0.59,0.554,14.6,20.6,0.228,1.0,0.511,15.8,73.0,0.212,1.0,AmericanAirlines Arena,"811,036","19,781",Finals,6.1,10.0,5.76,-0.20000000000000284,4.200000000000003,-1.9000000000000057,0.6000000000000014,0.03499999999999992
Denver Nuggets,2014,20,26.0,36,46,35,47,-2.15,0.75,-1.4,106.0,108.2,-2.2,98.1,0.306,0.278,0.536,0.497,14.0,27.5,0.222,,0.5,12.8,74.5,0.233,0,Pepsi Center,"692,898","16,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,2014,21,24.3,34,48,33,49,-2.71,0.73,-1.98,107.2,110.1,-2.9,92.2,0.286,0.193,0.537,0.495,12.9,26.9,0.22,,0.515,13.6,73.8,0.249,0,Smoothie King Center,"672,029","16,391",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento Kings,2014,22,24.9,28,54,33,49,-2.9,0.82,-2.08,105.7,108.8,-3.1,94.4,0.331,0.218,0.532,0.484,13.9,27.8,0.251,,0.512,12.7,76.6,0.234,0,Sleep Train Arena,"667,949","16,291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,2014,23,24.9,33,49,32,50,-3.29,-0.57,-3.86,104.2,107.7,-3.5,93.1,0.268,0.236,0.518,0.479,13.0,27.2,0.201,,0.508,13.0,75.8,0.199,0,Quicken Loans Arena,"710,522","17,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,2014,24,24.7,29,53,31,51,-3.66,-0.48,-4.13,105.9,109.7,-3.8,94.9,0.296,0.222,0.514,0.482,12.9,31.4,0.199,,0.52,13.8,73.4,0.218,0,The Palace of Auburn Hills,"616,005","15,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,2014,25,25.4,25,57,28,54,-4.46,-0.51,-4.97,102.9,107.7,-4.8,93.3,0.248,0.251,0.517,0.477,14.2,27.4,0.193,,0.505,13.4,74.2,0.227,0,TD Garden,"742,400","18,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Magic,2014,26,24.6,23,59,26,56,-5.44,-0.44,-5.88,101.7,107.4,-5.7,93.6,0.253,0.235,0.525,0.487,13.9,22.4,0.193,,0.504,13.0,75.5,0.211,0,Amway Center,"666,046","16,245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,2014,27,26.8,27,55,25,57,-6.29,0.96,-5.33,104.2,110.6,-6.4,98.7,0.263,0.291,0.542,0.505,13.7,20.2,0.199,,0.513,12.4,71.0,0.192,0,STAPLES Center,"771,974","18,829",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Jazz,2014,28,24.5,25,57,22,60,-7.17,0.91,-6.27,103.5,111.3,-7.8,91.4,0.271,0.237,0.523,0.484,13.9,25.5,0.202,,0.518,12.1,74.5,0.227,0,EnergySolutions Arena,"745,203","18,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,2014,29,24.7,15,67,20,62,-8.18,-0.23,-8.41,103.0,111.8,-8.8,91.8,0.274,0.231,0.519,0.479,14.1,27.1,0.204,,0.52,13.2,71.4,0.225,0,BMO Harris Bradley Center,"552,067","13,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,2014,30,23.4,19,63,16,66,-10.45,-0.21,-10.66,99.4,109.9,-10.5,99.2,0.268,0.258,0.51,0.475,14.8,24.8,0.19,,0.524,14.9,72.4,0.244,0,Wells Fargo Center,"568,632","13,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,2015,1,26.6,67,15,65,17,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,1.0,0.47,14.3,74.5,0.217,1,Oracle Arena,"803,436","19,596",,NBA Champion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,2015,2,28.8,56,26,58,24,6.59,0.22,6.8,112.4,105.5,6.9,94.7,0.303,0.322,0.565,0.533,11.6,22.8,0.215,1.0,0.493,13.2,75.7,0.231,0,STAPLES Center,"785,892","19,168",Houston Rockets,Conference Semifinals,Houston Rockets,7.0,27.6,56.0,26.0,50.0,32.0,3.44,0.38,3.82,107.0,103.4,3.6,96.5,0.312,0.392,0.548,0.512,15.0,26.8,0.223,1.0,0.486,14.6,72.9,0.208,1.0,Toyota Center,"747,412","18,230",Conference Finals,-3.3000000000000003,0.0,-3.15,1.7999999999999972,-5.400000000000006,-2.0999999999999943,-1.1999999999999993,-0.016999999999999904
San Antonio Spurs,2015,3,29.8,55,27,58,24,6.2,0.14,6.34,108.5,102.0,6.5,93.8,0.256,0.269,0.555,0.517,13.1,23.4,0.2,1.0,0.484,13.3,77.3,0.19,0,AT&T Center,"762,855","18,606",Los Angeles Clippers,Conference First Round,Los Angeles Clippers,2.0,28.8,56.0,26.0,58.0,24.0,6.59,0.22,6.8,112.4,105.5,6.9,94.7,0.303,0.322,0.565,0.533,11.6,22.8,0.215,1.0,0.493,13.2,75.7,0.231,0.0,STAPLES Center,"785,892","19,168",Conference Semifinals,0.40000000000000036,1.0,0.3899999999999997,0.9000000000000057,3.9000000000000057,3.5,-1.0,0.009999999999999898
Atlanta Hawks,2015,4,27.8,60,22,56,26,5.43,-0.68,4.75,108.9,103.1,5.8,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,1.0,0.492,14.9,73.4,0.185,1,Philips Arena,"713,909","17,412",Cleveland Cavaliers,Conference Finals,Cleveland Cavaliers,5.0,26.9,53.0,29.0,53.0,29.0,4.48,-0.4,4.08,111.1,106.3,4.8,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.216,1.0,0.502,12.6,74.7,0.177,1.0,Quicken Loans Arena,"843,042","20,562",Finals,-1.0,-7.0,-0.9499999999999993,-1.6000000000000085,2.1999999999999886,3.200000000000003,-0.9000000000000021,-0.005999999999999894
Cleveland Cavaliers,2015,5,26.9,53,29,53,29,4.48,-0.4,4.08,111.1,106.3,4.8,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.216,1.0,0.502,12.6,74.7,0.177,1,Quicken Loans Arena,"843,042","20,562",Golden State Warriors,Finals,Golden State Warriors,1.0,26.6,67.0,15.0,65.0,17.0,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,1.0,0.47,14.3,74.5,0.217,1.0,Oracle Arena,"803,436","19,596",NBA Champion,5.3999999999999995,14.0,5.619999999999999,6.0,0.5,-4.8999999999999915,-0.29999999999999716,0.013999999999999901
Portland Trail Blazers,2015,6,27.0,51,31,53,29,4.23,0.18,4.41,108.2,103.7,4.5,94.2,0.225,0.316,0.544,0.508,12.6,24.2,0.18,1.0,0.476,11.3,76.2,0.182,0,Moda Center,"798,368","19,472",Memphis Grizzlies,Conference First Round,Memphis Grizzlies,8.0,29.6,55.0,27.0,50.0,32.0,3.24,0.38,3.62,105.7,102.2,3.5,92.0,0.276,0.184,0.531,0.489,12.6,24.7,0.214,1.0,0.492,14.5,75.3,0.183,0.0,FedEx Forum,"710,502","17,329",Conference Semifinals,-1.0,4.0,-0.9900000000000002,-2.200000000000003,-2.5,-1.5,2.6000000000000014,-0.013000000000000012
Houston Rockets,2015,7,27.6,56,26,50,32,3.44,0.38,3.82,107.0,103.4,3.6,96.5,0.312,0.392,0.548,0.512,15.0,26.8,0.223,1.0,0.486,14.6,72.9,0.208,1,Toyota Center,"747,412","18,230",Golden State Warriors,Conference Finals,Golden State Warriors,1.0,26.6,67.0,15.0,65.0,17.0,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,1.0,0.47,14.3,74.5,0.217,1.0,Oracle Arena,"803,436","19,596",NBA Champion,6.6,11.0,6.66,1.7999999999999972,4.599999999999994,-2.0,-1.0,0.02299999999999991
Memphis Grizzlies,2015,8,29.6,55,27,50,32,3.24,0.38,3.62,105.7,102.2,3.5,92.0,0.276,0.184,0.531,0.489,12.6,24.7,0.214,1.0,0.492,14.5,75.3,0.183,0,FedEx Forum,"710,502","17,329",Golden State Warriors,Conference Semifinals,Golden State Warriors,1.0,26.6,67.0,15.0,65.0,17.0,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,1.0,0.47,14.3,74.5,0.217,1.0,Oracle Arena,"803,436","19,596",NBA Champion,6.699999999999999,12.0,6.859999999999999,6.299999999999997,5.8999999999999915,-0.7999999999999972,-3.0,0.039999999999999925
Toronto Raptors,2015,9,26.1,49,33,49,33,3.07,-0.62,2.45,111.0,107.7,3.3,92.8,0.295,0.302,0.553,0.508,12.0,25.6,0.232,1.0,0.506,13.4,73.3,0.208,0,Air Canada Centre,"809,824","19,752",Washington Wizards,Conference First Round,Washington Wizards,14.0,28.6,46.0,36.0,43.0,39.0,0.72,-0.55,0.17,103.7,103.0,0.7,93.7,0.259,0.203,0.534,0.499,14.0,24.9,0.192,1.0,0.481,12.9,77.3,0.21,0.0,Verizon Center,"747,796","18,239",Conference Semifinals,-2.5999999999999996,-3.0,-2.3499999999999996,0.9000000000000057,-7.299999999999997,-4.700000000000003,2.5,-0.019000000000000017
Chicago Bulls,2015,10,28.8,50,32,50,32,3.0,-0.46,2.54,107.5,104.3,3.2,92.8,0.304,0.269,0.536,0.489,12.9,27.0,0.238,1.0,0.473,11.3,74.4,0.182,0,United Center,"886,612","21,625",Cleveland Cavaliers,Conference Semifinals,Cleveland Cavaliers,5.0,26.9,53.0,29.0,53.0,29.0,4.48,-0.4,4.08,111.1,106.3,4.8,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.216,1.0,0.502,12.6,74.7,0.177,1.0,Quicken Loans Arena,"843,042","20,562",Finals,1.5999999999999996,3.0,1.4800000000000004,-0.5,3.5999999999999943,2.0,-1.9000000000000021,0.02100000000000002
Dallas Mavericks,2015,11,29.9,50,32,49,33,2.9,0.46,3.36,109.5,106.4,3.1,95.2,0.262,0.296,0.55,0.515,11.9,23.6,0.197,1.0,0.503,14.7,72.2,0.204,0,American Airlines Center,"827,702","20,188",Houston Rockets,Conference First Round,Houston Rockets,7.0,27.6,56.0,26.0,50.0,32.0,3.44,0.38,3.82,107.0,103.4,3.6,96.5,0.312,0.392,0.548,0.512,15.0,26.8,0.223,1.0,0.486,14.6,72.9,0.208,1.0,Toyota Center,"747,412","18,230",Conference Finals,0.5,6.0,0.54,1.2999999999999972,-2.5,-3.0,-2.299999999999997,-0.0020000000000000018
Oklahoma City Thunder,2015,12,25.4,45,37,47,35,2.18,0.28,2.47,107.8,105.5,2.3,95.7,0.284,0.262,0.532,0.492,13.1,28.9,0.214,,0.489,12.4,75.6,0.213,0,Chesapeake Energy Arena,"746,323","18,203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,2015,13,25.3,45,37,43,39,0.79,0.34,1.13,108.2,107.3,0.9,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.198,1.0,0.496,11.7,75.1,0.195,0,Smoothie King Center,"683,757","16,677",Golden State Warriors,Conference First Round,Golden State Warriors,1.0,26.6,67.0,15.0,65.0,17.0,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,1.0,0.47,14.3,74.5,0.217,1.0,Oracle Arena,"803,436","19,596",NBA Champion,9.299999999999999,22.0,9.309999999999999,6.8999999999999915,3.3999999999999915,-5.8999999999999915,1.3000000000000007,0.03399999999999992
Washington Wizards,2015,14,28.6,46,36,43,39,0.72,-0.55,0.17,103.7,103.0,0.7,93.7,0.259,0.203,0.534,0.499,14.0,24.9,0.192,1.0,0.481,12.9,77.3,0.21,0,Verizon Center,"747,796","18,239",Atlanta Hawks,Conference Semifinals,Atlanta Hawks,4.0,27.8,60.0,22.0,56.0,26.0,5.43,-0.68,4.75,108.9,103.1,5.8,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,1.0,0.492,14.9,73.4,0.185,1.0,Philips Arena,"713,909","17,412",Conference Finals,5.1,14.0,4.71,0.20000000000000284,5.200000000000003,0.09999999999999432,-0.8000000000000007,0.028999999999999915
Milwaukee Bucks,2015,15,24.6,41,41,42,40,0.43,-0.52,-0.09,102.7,102.2,0.5,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,1.0,0.487,15.9,73.3,0.221,0,BMO Harris Bradley Center,"593,910","14,813",Chicago Bulls,Conference First Round,Chicago Bulls,10.0,28.8,50.0,32.0,50.0,32.0,3.0,-0.46,2.54,107.5,104.3,3.2,92.8,0.304,0.269,0.536,0.489,12.9,27.0,0.238,1.0,0.473,11.3,74.4,0.182,0.0,United Center,"886,612","21,625",Conference Semifinals,2.7,9.0,2.57,-1.2999999999999972,4.799999999999997,2.0999999999999943,4.199999999999999,0.0
Indiana Pacers,2015,16,28.3,38,44,42,40,0.28,-0.51,-0.23,103.5,103.2,0.3,93.2,0.266,0.255,0.523,0.484,13.1,24.0,0.201,,0.478,12.0,77.9,0.217,0,Bankers Life Fieldhouse,"691,434","16,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Jazz,2015,17,23.4,38,44,42,40,0.22,0.49,0.71,105.1,104.9,0.2,90.4,0.297,0.274,0.531,0.494,14.6,29.1,0.214,,0.491,12.8,76.3,0.199,0,EnergySolutions Arena,"772,059","18,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,2015,18,25.0,40,42,41,41,0.16,-0.56,-0.4,104.7,104.5,0.2,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.176,1.0,0.494,13.7,75.0,0.208,0,TD Garden,"721,350","17,594",Cleveland Cavaliers,Conference First Round,Cleveland Cavaliers,5.0,26.9,53.0,29.0,53.0,29.0,4.48,-0.4,4.08,111.1,106.3,4.8,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.216,1.0,0.502,12.6,74.7,0.177,1.0,Quicken Loans Arena,"843,042","20,562",Finals,4.6,13.0,4.32,-3.5,6.3999999999999915,1.7999999999999972,1.8999999999999986,0.03400000000000003
Phoenix Suns,2015,19,25.7,39,43,38,44,-0.9,0.52,-0.38,105.3,106.2,-0.9,96.3,0.251,0.291,0.537,0.501,13.7,24.5,0.191,,0.497,14.0,73.5,0.221,0,US Airways Center,"693,862","16,923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,2015,20,25.9,32,50,38,44,-1.0,-0.39,-1.39,105.3,106.4,-1.1,92.8,0.261,0.29,0.515,0.482,12.3,27.7,0.184,,0.502,13.2,75.0,0.192,0,The Palace of Auburn Hills,"625,917","15,266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat,2015,21,28.5,37,45,33,49,-2.6,-0.32,-2.92,103.9,106.7,-2.8,90.9,0.306,0.262,0.54,0.5,14.5,23.2,0.227,,0.505,14.2,73.4,0.213,0,AmericanAirlines Arena,"808,223","19,713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,2015,22,28.6,38,44,33,49,-2.88,-0.25,-3.13,104.4,107.4,-3.0,92.7,0.267,0.24,0.529,0.491,13.0,23.9,0.2,1.0,0.506,12.9,73.7,0.185,0,Barclays Center,"698,529","17,037",Atlanta Hawks,Conference First Round,Atlanta Hawks,4.0,27.8,60.0,22.0,56.0,26.0,5.43,-0.68,4.75,108.9,103.1,5.8,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,1.0,0.492,14.9,73.4,0.185,1.0,Philips Arena,"713,909","17,412",Conference Finals,8.8,22.0,8.309999999999999,1.2000000000000028,4.5,-4.300000000000011,-0.8000000000000007,0.03399999999999992
Charlotte Hornets,2015,23,26.0,33,49,32,50,-3.17,-0.27,-3.44,100.1,103.5,-3.4,93.0,0.269,0.226,0.498,0.456,11.2,22.1,0.202,,0.487,12.0,79.3,0.188,0,Time Warner Cable Arena,"704,886","17,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Nuggets,2015,24,26.4,30,52,31,51,-3.55,0.48,-3.07,104.5,108.2,-3.7,96.1,0.278,0.284,0.518,0.479,12.7,26.6,0.204,,0.504,13.0,74.7,0.239,0,Pepsi Center,"602,707","14,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento Kings,2015,25,26.0,29,53,31,51,-3.71,0.64,-3.07,105.3,109.2,-3.9,95.4,0.363,0.204,0.542,0.49,14.8,26.5,0.276,,0.507,11.8,75.2,0.2,0,Sleep Train Arena,"680,049","16,587",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Magic,2015,26,24.3,25,57,25,57,-5.72,-0.15,-5.87,101.6,107.7,-6.1,93.8,0.23,0.235,0.524,0.494,14.0,23.1,0.168,,0.514,13.6,76.0,0.21,0,Amway Center,"688,194","16,785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,2015,27,27.0,21,61,23,59,-6.84,0.67,-6.17,103.4,110.6,-7.2,94.0,0.276,0.22,0.513,0.473,12.1,25.4,0.204,,0.518,12.1,76.3,0.231,0,STAPLES Center,"768,244","18,738",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,2015,28,24.4,16,66,19,63,-8.79,0.79,-8.0,102.9,112.2,-9.3,94.4,0.309,0.179,0.517,0.468,13.7,26.6,0.24,,0.537,13.9,71.6,0.187,0,Target Center,"595,652","14,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,2015,29,23.2,18,64,18,64,-8.98,-0.07,-9.04,95.5,104.8,-9.3,95.7,0.288,0.319,0.494,0.459,16.0,25.5,0.195,,0.497,15.2,73.0,0.225,0,Wells Fargo Center,"571,572","13,941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Knicks,2015,30,26.9,17,65,17,65,-9.32,-0.18,-9.5,99.9,110.0,-10.1,91.2,0.234,0.24,0.508,0.47,14.0,24.5,0.18,,0.512,13.3,73.1,0.234,0,Madison Square Garden (IV),"812,292","19,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,2016,1,30.3,67,15,67,15,10.63,-0.36,10.28,110.3,99.0,11.3,93.8,0.246,0.223,0.564,0.526,12.4,23.0,0.197,1.0,0.477,14.1,79.1,0.182,0,AT&T Center,"756,445","18,450",Oklahoma City Thunder,Conference Semifinals,Oklahoma City Thunder,3.0,25.8,55.0,27.0,59.0,23.0,7.28,-0.19,7.09,113.1,105.6,7.5,96.7,0.292,0.275,0.565,0.524,14.0,31.1,0.228,1.0,0.484,11.7,76.0,0.205,1.0,Chesapeake Energy Arena,"746,323","18,203",Conference Finals,-3.8000000000000007,-12.0,-3.3500000000000005,2.9000000000000057,2.799999999999997,6.599999999999994,-4.5,0.0010000000000000009
Golden State Warriors,2016,2,27.4,73,9,65,17,10.76,-0.38,10.38,114.5,103.8,10.7,99.3,0.25,0.362,0.593,0.563,13.5,23.5,0.191,1.0,0.479,12.6,76.0,0.208,1,Oracle Arena,"803,436","19,596",Cleveland Cavaliers,Finals,Cleveland Cavaliers,4.0,28.1,57.0,25.0,57.0,25.0,6.0,-0.55,5.45,110.9,104.5,6.4,93.3,0.259,0.352,0.558,0.524,12.7,25.1,0.194,1.0,0.496,12.6,78.5,0.205,1.0,Quicken Loans Arena,"843,042","20,562",NBA Champion,-4.299999999999999,-16.0,-4.76,-6.0,-3.5999999999999943,0.7000000000000028,0.7000000000000028,-0.03499999999999992
Oklahoma City Thunder,2016,3,25.8,55,27,59,23,7.28,-0.19,7.09,113.1,105.6,7.5,96.7,0.292,0.275,0.565,0.524,14.0,31.1,0.228,1.0,0.484,11.7,76.0,0.205,1,Chesapeake Energy Arena,"746,323","18,203",Golden State Warriors,Conference Finals,Golden State Warriors,2.0,27.4,73.0,9.0,65.0,17.0,10.76,-0.38,10.38,114.5,103.8,10.7,99.3,0.25,0.362,0.593,0.563,13.5,23.5,0.191,1.0,0.479,12.6,76.0,0.208,1.0,Oracle Arena,"803,436","19,596",Finals,3.1999999999999993,18.0,3.4799999999999995,2.5999999999999943,1.4000000000000057,-1.7999999999999972,1.5999999999999979,0.028000000000000025
Cleveland Cavaliers,2016,4,28.1,57,25,57,25,6.0,-0.55,5.45,110.9,104.5,6.4,93.3,0.259,0.352,0.558,0.524,12.7,25.1,0.194,1.0,0.496,12.6,78.5,0.205,1,Quicken Loans Arena,"843,042","20,562",,NBA Champion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,2016,5,26.3,56,26,53,29,4.5,-0.42,4.08,110.0,105.2,4.8,92.9,0.328,0.287,0.552,0.504,12.3,24.6,0.255,1.0,0.498,12.7,77.7,0.201,1,Air Canada Centre,"812,863","19,826",Cleveland Cavaliers,Conference Finals,Cleveland Cavaliers,4.0,28.1,57.0,25.0,57.0,25.0,6.0,-0.55,5.45,110.9,104.5,6.4,93.3,0.259,0.352,0.558,0.524,12.7,25.1,0.194,1.0,0.496,12.6,78.5,0.205,1.0,Quicken Loans Arena,"843,042","20,562",NBA Champion,1.6000000000000005,1.0,1.5,0.3999999999999915,0.9000000000000057,-0.7000000000000028,1.8000000000000007,0.006000000000000005
