Team_x,Year,Rk,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Playoffs,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Successful,Arena,Attend.,Attend./G,Lost To,Round made it to,Team_y,Lost to Rk,Lost to Age,Lost to W,Lost to L,Lost to PW,Lost to PL,Lost to MOV,Lost to SOS,Lost to SRS,Lost to ORtg,Lost to DRtg,Lost to NRtg,Lost to Pace,Lost to FTr,Lost to 3PAr,Lost to TS%,Lost to eFG%,Lost to TOV%,Lost to ORB%,Lost to FT/FGA,Lost to Playoffs,Lost to eFG%.1,Lost to TOV%.1,Lost to DRB%,Lost to FT/FGA.1,Lost to Successful,Lost to Arena,Lost to Attend.,Lost to Attend./G,Lost to Round made it to,Difference NRtg,Difference W,Difference MOV,Difference Pace,Difference ORtg,Difference DRtg,Difference Age,Difference TS%
Golden State Warriors,2011,21,25.2,36,46,35,47,-2.33,0.33,-2.0,108.2,110.7,-2.5,94.8,0.241,0.248,0.544,0.51,13.3,26.7,0.183,,0.509,14.5,69.3,0.259,0,Oracle Arena,"766,398","18,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,2011,22,24.6,32,50,32,50,-3.13,0.42,-2.71,105.3,108.7,-3.4,92.8,0.332,0.23,0.535,0.496,15.1,28.4,0.234,,0.499,12.8,73.2,0.25,0,STAPLES Center,"727,462","17,743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,2011,23,27.2,30,52,31,51,-3.6,-0.18,-3.78,107.7,111.7,-4.0,89.2,0.279,0.189,0.533,0.495,12.5,27.4,0.206,,0.526,13.8,72.1,0.235,0,The Palace of Auburn Hills,"683,080","16,660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Bobcats,2011,24,26.9,34,48,29,53,-4.0,-0.08,-4.08,103.4,107.8,-4.4,89.6,0.314,0.189,0.528,0.482,14.1,25.7,0.237,,0.5,12.9,75.2,0.229,0,Time Warner Cable Arena,"649,694","15,846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento Kings,2011,25,24.8,24,58,27,55,-5.34,0.54,-4.8,103.5,109.0,-5.5,95.2,0.284,0.183,0.519,0.48,14.4,29.9,0.208,,0.513,13.5,74.4,0.233,0,Power Balance Pavilion,"569,496","13,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey Nets,2011,26,24.8,24,58,24,58,-6.24,-0.04,-6.28,103.1,109.9,-6.8,89.9,0.283,0.201,0.517,0.474,13.4,26.1,0.215,,0.503,11.8,74.2,0.241,0,Prudential Center,"581,378","13,949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,2011,27,24.5,22,60,24,58,-6.28,0.01,-6.28,106.1,112.9,-6.8,92.9,0.293,0.162,0.533,0.491,13.7,28.2,0.221,,0.522,13.0,72.0,0.251,0,Air Canada Centre,"680,255","16,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,2011,28,23.8,17,65,24,58,-6.63,0.67,-5.97,104.2,111.1,-6.9,96.5,0.282,0.223,0.526,0.483,15.1,29.6,0.217,,0.514,13.1,73.7,0.251,0,Target Center,"624,960","15,243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Wizards,2011,29,24.9,23,59,22,60,-7.4,0.11,-7.3,102.4,110.2,-7.8,93.8,0.29,0.172,0.513,0.471,13.9,28.0,0.216,,0.512,14.4,70.5,0.249,0,Verizon Center,"688,466","16,792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,2011,30,26.6,19,63,18,64,-9.01,0.14,-8.88,102.2,111.8,-9.6,93.0,0.312,0.224,0.518,0.472,13.4,24.2,0.233,,0.524,12.7,73.3,0.211,0,Quicken Loans Arena,"824,595","20,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,2012,1,27.1,50,16,51,15,8.18,-0.76,7.43,107.4,98.3,9.1,89.1,0.255,0.205,0.523,0.49,13.2,32.6,0.184,1.0,0.45,12.8,74.3,0.175,0,United Center,"731,326","22,161",Philadelphia 76ers,Conference First Round,Philadelphia 76ers,5.0,24.9,35.0,31.0,43.0,23.0,4.24,-0.65,3.59,103.9,99.2,4.7,89.7,0.217,0.175,0.511,0.48,10.9,24.4,0.161,1.0,0.46,13.5,75.2,0.192,0.0,Wells Fargo Center,"577,597","17,503",Conference Semifinals,-4.3999999999999995,-15.0,-3.9399999999999995,0.6000000000000085,-3.5,0.9000000000000057,-2.200000000000003,-0.01200000000000001
San Antonio Spurs,2012,2,27.5,50,16,48,18,7.17,0.11,7.28,110.9,103.2,7.7,92.9,0.261,0.257,0.562,0.528,12.8,25.1,0.195,1.0,0.489,12.9,76.0,0.168,1,AT&T Center,"607,095","18,397",Oklahoma City Thunder,Conference Finals,Oklahoma City Thunder,3.0,25.1,47.0,19.0,46.0,20.0,6.12,0.32,6.44,109.8,103.2,6.6,93.0,0.334,0.252,0.567,0.516,15.3,27.8,0.269,1.0,0.465,13.0,72.1,0.207,1.0,Chesapeake Energy Arena,"600,699","18,203",Finals,-1.1000000000000005,-3.0,-1.0499999999999998,0.09999999999999432,-1.1000000000000085,0.0,-2.3999999999999986,0.004999999999999893
Oklahoma City Thunder,2012,3,25.1,47,19,46,20,6.12,0.32,6.44,109.8,103.2,6.6,93.0,0.334,0.252,0.567,0.516,15.3,27.8,0.269,1.0,0.465,13.0,72.1,0.207,1,Chesapeake Energy Arena,"600,699","18,203",Miami Heat,Finals,Miami Heat,4.0,28.3,46.0,20.0,47.0,19.0,5.98,-0.27,5.72,106.6,100.2,6.4,91.2,0.307,0.198,0.549,0.505,14.5,26.6,0.238,1.0,0.479,15.8,73.9,0.2,1.0,AmericanAirlines Arena,"657,855","19,935",NBA Champion,-0.1999999999999993,-1.0,-0.13999999999999968,-1.7999999999999972,-3.200000000000003,-3.0,3.1999999999999993,-0.017999999999999905
Miami Heat,2012,4,28.3,46,20,47,19,5.98,-0.27,5.72,106.6,100.2,6.4,91.2,0.307,0.198,0.549,0.505,14.5,26.6,0.238,1.0,0.479,15.8,73.9,0.2,1,AmericanAirlines Arena,"657,855","19,935",,NBA Champion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,2012,5,24.9,35,31,43,23,4.24,-0.65,3.59,103.9,99.2,4.7,89.7,0.217,0.175,0.511,0.48,10.9,24.4,0.161,1.0,0.46,13.5,75.2,0.192,0,Wells Fargo Center,"577,597","17,503",Boston Celtics,Conference Semifinals,Boston Celtics,10.0,29.3,39.0,27.0,39.0,27.0,2.52,-0.26,2.26,101.0,98.2,2.8,90.4,0.257,0.194,0.535,0.496,14.7,19.7,0.2,1.0,0.452,14.9,72.4,0.216,1.0,TD Garden,"614,592","18,624",Conference Finals,-1.9000000000000004,4.0,-1.7200000000000002,0.7000000000000028,-2.9000000000000057,-1.0,4.400000000000002,0.02400000000000002
Atlanta Hawks,2012,6,27.9,40,26,41,25,3.44,-0.77,2.67,104.9,101.2,3.7,90.2,0.259,0.249,0.535,0.5,13.4,23.9,0.192,1.0,0.48,14.4,74.4,0.186,0,Philips Arena,"501,593","15,200",Boston Celtics,Conference First Round,Boston Celtics,10.0,29.3,39.0,27.0,39.0,27.0,2.52,-0.26,2.26,101.0,98.2,2.8,90.4,0.257,0.194,0.535,0.496,14.7,19.7,0.2,1.0,0.452,14.9,72.4,0.216,1.0,TD Garden,"614,592","18,624",Conference Finals,-0.9000000000000004,-1.0,-0.9199999999999999,0.20000000000000284,-3.9000000000000057,-3.0,1.4000000000000021,0.0
Indiana Pacers,2012,7,26.3,42,24,41,25,3.3,-0.71,2.6,106.7,103.1,3.6,90.7,0.321,0.198,0.526,0.474,13.1,29.2,0.251,1.0,0.476,14.1,72.3,0.222,0,Bankers Life Fieldhouse,"467,561","14,169",Miami Heat,Conference Semifinals,Miami Heat,4.0,28.3,46.0,20.0,47.0,19.0,5.98,-0.27,5.72,106.6,100.2,6.4,91.2,0.307,0.198,0.549,0.505,14.5,26.6,0.238,1.0,0.479,15.8,73.9,0.2,1.0,AmericanAirlines Arena,"657,855","19,935",NBA Champion,2.8000000000000003,4.0,2.6800000000000006,0.5,-0.10000000000000853,-2.8999999999999915,2.0,0.02300000000000002
New York Knicks,2012,8,26.3,36,30,41,25,3.2,-0.81,2.39,104.4,101.0,3.4,93.2,0.306,0.288,0.533,0.492,14.9,26.6,0.227,1.0,0.485,15.9,73.7,0.224,0,Madison Square Garden (IV),"652,179","19,763",Miami Heat,Conference First Round,Miami Heat,4.0,28.3,46.0,20.0,47.0,19.0,5.98,-0.27,5.72,106.6,100.2,6.4,91.2,0.307,0.198,0.549,0.505,14.5,26.6,0.238,1.0,0.479,15.8,73.9,0.2,1.0,AmericanAirlines Arena,"657,855","19,935",NBA Champion,3.0000000000000004,10.0,2.7800000000000002,-2.0,2.1999999999999886,-0.7999999999999972,2.0,0.016000000000000014
Denver Nuggets,2012,9,26.6,38,28,39,27,2.88,0.29,3.16,109.2,106.2,3.0,94.2,0.326,0.243,0.556,0.516,14.1,27.7,0.239,1.0,0.508,14.3,74.3,0.185,0,Pepsi Center,"561,966","17,029",Los Angeles Lakers,Conference First Round,Los Angeles Lakers,13.0,29.7,41.0,25.0,36.0,30.0,1.42,0.54,1.96,106.0,104.4,1.6,90.5,0.299,0.209,0.534,0.491,14.2,29.1,0.226,1.0,0.476,10.7,74.8,0.158,0.0,STAPLES Center,"626,901","18,997",Conference Semifinals,-1.4,3.0,-1.46,-3.700000000000003,-3.200000000000003,-1.7999999999999972,3.099999999999998,-0.02200000000000002
Boston Celtics,2012,10,29.3,39,27,39,27,2.52,-0.26,2.26,101.0,98.2,2.8,90.4,0.257,0.194,0.535,0.496,14.7,19.7,0.2,1.0,0.452,14.9,72.4,0.216,1,TD Garden,"614,592","18,624",Miami Heat,Conference Finals,Miami Heat,4.0,28.3,46.0,20.0,47.0,19.0,5.98,-0.27,5.72,106.6,100.2,6.4,91.2,0.307,0.198,0.549,0.505,14.5,26.6,0.238,1.0,0.479,15.8,73.9,0.2,1.0,AmericanAirlines Arena,"657,855","19,935",NBA Champion,3.6000000000000005,7.0,3.4600000000000004,0.7999999999999972,5.599999999999994,2.0,-1.0,0.014000000000000012
Los Angeles Clippers,2012,11,27.3,40,26,39,27,2.56,0.26,2.82,108.5,105.7,2.8,89.2,0.287,0.269,0.533,0.502,12.7,29.5,0.195,1.0,0.492,14.2,73.2,0.245,0,STAPLES Center,"634,237","19,219",San Antonio Spurs,Conference Semifinals,San Antonio Spurs,2.0,27.5,50.0,16.0,48.0,18.0,7.17,0.11,7.28,110.9,103.2,7.7,92.9,0.261,0.257,0.562,0.528,12.8,25.1,0.195,1.0,0.489,12.9,76.0,0.168,1.0,AT&T Center,"607,095","18,397",Conference Finals,4.9,10.0,4.609999999999999,3.700000000000003,2.4000000000000057,-2.5,0.1999999999999993,0.029000000000000026
Memphis Grizzlies,2012,12,25.6,41,25,38,28,2.02,0.42,2.43,104.0,101.8,2.2,90.8,0.277,0.157,0.515,0.473,13.6,29.8,0.211,1.0,0.485,16.3,72.7,0.227,0,FedEx Forum,"518,446","15,710",Los Angeles Clippers,Conference First Round,Los Angeles Clippers,11.0,27.3,40.0,26.0,39.0,27.0,2.56,0.26,2.82,108.5,105.7,2.8,89.2,0.287,0.269,0.533,0.502,12.7,29.5,0.195,1.0,0.492,14.2,73.2,0.245,0.0,STAPLES Center,"634,237","19,219",Conference Semifinals,0.5999999999999996,-1.0,0.54,-1.5999999999999943,4.5,3.9000000000000057,1.6999999999999993,0.018000000000000016
Los Angeles Lakers,2012,13,29.7,41,25,36,30,1.42,0.54,1.96,106.0,104.4,1.6,90.5,0.299,0.209,0.534,0.491,14.2,29.1,0.226,1.0,0.476,10.7,74.8,0.158,0,STAPLES Center,"626,901","18,997",Oklahoma City Thunder,Conference Semifinals,Oklahoma City Thunder,3.0,25.1,47.0,19.0,46.0,20.0,6.12,0.32,6.44,109.8,103.2,6.6,93.0,0.334,0.252,0.567,0.516,15.3,27.8,0.269,1.0,0.465,13.0,72.1,0.207,1.0,Chesapeake Energy Arena,"600,699","18,203",Finals,5.0,6.0,4.7,2.5,3.799999999999997,-1.2000000000000028,-4.599999999999998,0.03299999999999992
Dallas Mavericks,2012,14,31.3,36,30,35,31,0.95,0.83,1.78,103.3,102.3,1.0,91.4,0.246,0.271,0.527,0.489,13.4,23.4,0.19,1.0,0.479,13.9,74.8,0.203,0,American Airlines Center,"671,050","20,335",Oklahoma City Thunder,Conference First Round,Oklahoma City Thunder,3.0,25.1,47.0,19.0,46.0,20.0,6.12,0.32,6.44,109.8,103.2,6.6,93.0,0.334,0.252,0.567,0.516,15.3,27.8,0.269,1.0,0.465,13.0,72.1,0.207,1.0,Chesapeake Energy Arena,"600,699","18,203",Finals,5.6,11.0,5.17,1.5999999999999943,6.5,0.9000000000000057,-6.199999999999999,0.039999999999999925
Orlando Magic,2012,15,27.5,37,29,35,31,0.79,-0.33,0.46,105.0,104.1,0.9,89.0,0.292,0.346,0.533,0.506,14.5,26.5,0.193,1.0,0.488,12.9,75.5,0.19,0,Amway Center,"623,587","18,897",Indiana Pacers,Conference First Round,Indiana Pacers,7.0,26.3,42.0,24.0,41.0,25.0,3.3,-0.71,2.6,106.7,103.1,3.6,90.7,0.321,0.198,0.526,0.474,13.1,29.2,0.251,1.0,0.476,14.1,72.3,0.222,0.0,Bankers Life Fieldhouse,"467,561","14,169",Conference Semifinals,2.7,5.0,2.51,1.7000000000000028,1.7000000000000028,-1.0,-1.1999999999999993,-0.007000000000000006
